Category,Calcium,Carbohydrate,Fiber,VitaminA,Sugar_Level,Fat_Level,Protein_Level
Cereal (General Mills Chex Cinnamon),333.0,82.4,2.4,749.0,High,Medium,Medium
Cereal (General Mills Cinnamon Toast Crunch),444.0,77.99,6.8,918.0,High,Medium,Medium
Cereal (Kellogg's Corn Flakes),5.0,84.1,3.3,490.0,Medium,Low,Medium
Cereal (Post Bran Flakes),44.0,80.5,18.3,749.0,High,Low,Medium
Cereal (Kellogg's Frosted Mini-Wheats),28.0,83.4,10.8,0.0,High,Low,Medium
Granola,76.0,53.88,8.9,1.0,High,High,Medium
Cereal (Malt-O-Meal Tootie Fruities),313.0,85.94,2.2,448.0,High,Low,Low
Cereal (Kellogg's Frosted Flakes),3.0,89.2,2.2,450.0,High,Low,Low
Mixed cereal with applesauce and bananas,91.0,18.58,1.0,0.0,Medium,Low,Low
Soft taco with meat and sour cream,121.5,18.79,2.25,38.0,Low,Medium,Medium
Pizza with meat other than pepperoni,173.85714285714286,29.447142857142858,2.4571428571428577,68.14285714285714,Low,Medium,Medium
Roll with meat and/or shrimp,35.0,17.12,2.1,234.0,Low,Low,Medium
Wonton,30.0,14.050000000000002,1.5,4.666666666666667,Low,Medium,Medium
Cornmeal fritter,149.0,20.76,1.0,57.0,Low,Medium,Medium
Kishke,13.0,35.1,1.6,0.0,Low,High,Low
Pasta with cream sauce,30.25,16.36916666666667,1.0,57.5,Low,Medium,Medium
Pasta with cream sauce and poultry,31.0,16.03333333333333,0.9,61.666666666666664,Low,Medium,Medium
Kidney beans and brown rice,17.0,22.89,4.8,0.0,Low,Low,Medium
Grape leaves stuffed with rice,89.0,13.88,3.1,241.0,Low,Medium,Low
Rice dressing,20.0,17.68,0.6,31.0,Low,Low,Low
Tabbouleh,20.0,9.65,1.8,33.0,Low,Medium,Low
Beef dumpling soup,13.0,10.08,0.6,54.0,Low,Low,Low
Instant soup,6.0,6.67,0.30000000000000004,0.5,Low,Low,Low
Macaroni with vegetables,14.0,8.4,1.5,41.0,Low,Low,Low
Lime,33.0,10.54,2.8,2.0,Low,Low,Low
Avocado,12.0,8.53,6.7,7.0,Low,Medium,Low
Mango nectar,17.0,13.12,0.3,35.0,Medium,Low,Low
Peach nectar,6.0,11.61,0.1,16.0,Medium,Low,Low
Papaya nectar,10.0,14.51,0.6,18.0,Medium,Low,Low
Apple-peach juice,3.0,10.5,0.1,3.0,Medium,Low,Low
Banana juice with lowfat yogurt,79.0,17.54,0.4,6.0,Medium,Low,Low
Bananas and pineapple,7.0,18.1,1.6000000000000003,2.3333333333333335,Medium,Low,Low
Peach cobbler,4.0,18.05,0.6999999999999998,7.0,Medium,Low,Low
Potato pancake,23.0,20.56,2.2,26.0,Low,Medium,Low
Poi,46.0,28.45,4.4,4.0,Low,Low,Low
Carrot with rice soup,49.0,10.12,1.0,267.0,Low,Low,Low
Tomato beef noodle soup,9.0,8.44,0.6,12.0,Low,Low,Low
Tomato beef rice soup,9.0,8.44,0.6,12.0,Low,Low,Low
Basil,177.0,2.65,1.6,264.0,Low,Low,Low
Cilantro,67.0,3.67,2.8,337.0,Low,Low,Low
Snowpeas,43.0,7.55,2.6,54.0,Low,Low,Low
Cabbage salad or coleslaw with apples and/or raisins,28.0,13.31,2.1,63.0,Medium,Medium,Low
Chiles rellenos,177.5,6.77,1.15,90.5,Low,Medium,Medium
Radishes,22.0,7.68,1.3,0.0,Medium,Low,Low
Vegetable soup,32.75,7.8374999999999995,1.1375,61.0,Low,Low,Low
Ripe plantain fritters,24.0,29.4,1.9,67.0,High,High,Medium
Vegetable smoothie,78.0,6.06,2.9,105.0,Low,Medium,Low
Tartar sauce,26.0,13.3,0.5,11.0,Low,Medium,Low
Fry sauce,10.0,7.28,0.1,18.0,Medium,High,Low
Safflower oil,0.0,0.0,0.0,0.0,Low,High,Low
Wheat germ oil,0.0,0.0,0.0,0.0,Low,High,Low
Italian dressing,19.333333333333332,10.286666666666667,0.19999999999999998,2.3333333333333335,Medium,Medium,Low
3 MUSKETEERS Bar,54.0,77.77,1.5,20.0,High,Medium,Low
Sugar-coated chocolate discs,105.0,71.19,2.8,56.0,High,High,Low
Sixlets,105.0,71.19,2.8,56.0,High,High,Low
Frozen mocha coffee drink,61.833333333333336,12.854166666666666,0.03333333333333333,42.0,Medium,Low,Low
Cranberry juice drink,6.5,9.11,0.05,0.0,Medium,Low,Low
Bloody Mary,10.0,3.24,0.4,17.0,Low,Low,Low
Canadian Club and soda,4.0,0.0,0.0,0.0,Low,Low,Low
Gin and Tonic,1.0,6.57,0.0,0.0,Medium,Low,Low
Long Island iced tea,1.0,8.66,0.0,0.0,Medium,Low,Low
Nutritional powder mix (Isopure),698.0,29.07,0.0,872.0,Low,Low,High
Breading or batter as ingredient in food,47.0,39.64,1.6,8.0,Low,Low,Medium
Tomatoes as ingredient in omelet,14.0,5.48,1.6,43.0,Low,Low,Low
Goat's milk,134.0,4.45,0.0,57.0,Low,Low,Low
Frozen yogurt sandwich,83.0,34.38,0.8,38.0,High,Medium,Low
Creme brulee,116.0,17.87,0.0,66.0,High,Low,Low
Alfredo sauce with seafood,74.0,1.76,0.0,143.0,Low,Medium,Medium
Mozzarella cheese,203.0,3.86,0.8,89.0,Low,Medium,Medium
Chicken thigh,15.310344827586206,2.6237931034482758,0.07931034482758621,12.586206896551724,Low,Medium,High
Chicken fillet,25.0,8.615,0.9,5.5,Low,Medium,High
Beef sausage with cheese,136.0,3.4,0.0,41.0,Low,High,Medium
Blood sausage,6.0,1.29,0.0,0.0,Low,High,Medium
Chicken salad spread,10.0,7.41,0.0,42.0,Low,Medium,Medium
Ham salad spread,8.0,10.64,0.0,0.0,Low,Medium,Medium
Carp,61.75,5.68875,0.3,14.375,Low,Medium,High
Sturgeon,21.6,2.01,0.12,224.0,Low,Medium,High
Swordfish,19.428571428571427,5.1085714285714285,0.2571428571428571,38.0,Low,Medium,High
Beef with cream or white sauce,41.0,2.74,0.0,40.0,Low,Medium,High
Pork or ham with soy-based sauce,24.0,3.46,0.5,4.0,Low,Medium,Medium
Frankfurters or hot dogs with tomato-based sauce,15.0,3.71,0.4,8.0,Low,High,Medium
Stewed goat,21.0,1.99,0.5,8.0,Low,Medium,High
Veal scallopini,39.0,1.28,0.2,109.0,Low,Medium,High
Shrimp scampi,82.0,1.76,0.1,83.0,Low,Medium,High
Shrimp teriyaki,87.0,3.34,0.0,82.0,Low,Low,High
Corned beef hash,19.0,9.27,1.1,0.0,Low,Medium,Medium
Beef and potatoes with cheese sauce,94.0,11.1,0.9,23.0,Low,Medium,Medium
Beef and rice,8.0,17.23,0.2,0.0,Low,Medium,Medium
Beef and rice with soy-based sauce,18.0,8.05,0.5,3.0,Low,Medium,Medium
Sausage and noodles with cream or white sauce,42.0,14.83,0.6,45.0,Low,Medium,Medium
Meat loaf made with venison/deer,52.0,6.3,0.4,17.0,Low,Medium,High
Chicken or turkey with stuffing,25.0,11.74,0.5,6.0,Low,Low,High
Clam cake or patty,59.0,6.77,0.2,118.0,Low,Medium,High
Oyster fritter,45.0,5.22,0.2,80.0,Low,Medium,Medium
Lamb or mutton,15.666666666666666,15.563333333333333,0.8666666666666667,56.666666666666664,Low,Medium,Medium
Tuna noodle casserole with vegetables,56.0,14.04,0.8,65.0,Low,Medium,Medium
Beef with vegetables excluding carrots,22.0,6.465,1.2,13.5,Low,Medium,Medium
Ham and vegetables including carrots broccoli,17.0,2.59,1.2,178.0,Low,Medium,Medium
Veal with vegetables including carrots,62.0,5.98,0.8,170.0,Low,Medium,Medium
Chicken or turkey a la king with vegetables including carrots,63.0,6.81,0.6,246.0,Low,Medium,Medium
Chicken or turkey garden salad with cheese,100.0,2.8,0.9,198.0,Low,Low,Medium
Salmon salad,125.0,2.66,0.4,20.0,Low,Medium,Medium
Fish and vegetables excluding carrots,16.0,6.3,1.5,18.0,Low,Medium,Medium
Sandwich,173.0,33.02,1.4,1.0,Low,Medium,Medium
Cheeseburger slider,206.0,21.354999999999997,0.75,39.5,Low,Medium,High
Quarter Pounder (McDonalds),87.0,22.14,1.1,2.0,Low,Medium,High
Pastrami sandwich,98.0,19.87,1.1,2.0,Low,Low,Medium
Ham and cheese on English muffin,279.0,18.72,1.4,97.0,Low,Medium,High
Ham and cheese submarine sandwich,169.0,22.91,1.3,2.0,Low,Low,Medium
Pork sandwich,93.0,25.42,1.0,1.5,Medium,Medium,High
Chicken salad or chicken spread sandwich,95.0,19.78,1.2,8.0,Low,Medium,Medium
Salmon cake sandwich,198.0,18.12,0.9,20.0,Low,Medium,Medium
Cold cut sumarine sandwich,171.0,20.43,1.2,22.0,Low,Medium,Medium
Chicken noodle dinner,27.0,7.803333333333334,1.7,98.33333333333333,Low,Low,Low
Frozen dinner,15.0,10.94,1.2,52.0,Low,Medium,Medium
Chicken or turkey soup with vegetables and fruit,16.0,2.17,0.2,5.0,Low,Low,Medium
Clam chowder,43.833333333333336,6.858333333333333,0.5333333333333333,33.166666666666664,Low,Low,Low
Egg omelet or scrambled egg,98.6219512195122,1.2950000000000002,0.13048780487804876,166.0,Low,Medium,Medium
Baked beans from fast food / restaurant,38.0,23.29,4.3,1.0,Medium,Low,Low
Soy nuts,138.0,30.22,17.7,10.0,Low,High,High
Miso,57.0,25.37,5.4,4.0,Medium,Medium,Medium
Teriyaki sauce,25.0,15.57,0.1,0.0,Medium,Low,Medium
Lima bean soup,11.0,8.5,2.7,20.0,Low,Low,Low
Nuts,156.66666666666666,33.550000000000004,6.566666666666667,10.333333333333334,High,High,High
Pine nuts,16.0,13.08,3.7,1.0,Low,High,Medium
Peanut butter sandwich,134.0,40.424285714285716,4.385714285714286,0.0,Medium,Medium,High
Peanut butter and jelly sandwich,110.71428571428571,43.222142857142856,3.814285714285714,0.0,Medium,Medium,Medium
Sunflower seeds,69.5,24.46,10.950000000000001,0.0,Low,High,High
Arepa Dominicana,83.0,30.45,2.4,60.0,Low,Medium,Medium
Cake or cupcake,47.96774193548387,49.23774193548386,1.293548387096774,61.645161290322584,High,High,Low
Cheesecake,53.0,29.025,0.7,159.0,High,High,Medium
Cookie bar,21.0,65.36,2.0,0.0,High,High,Medium
Mixed fruit tart filled with custard or cream cheese,57.0,20.7,1.4,73.0,Medium,Medium,Low
Strudel,59.0,39.92000000000001,1.6666666666666667,68.0,High,Medium,Low
Nutrition bar (Clif Kids Organic Zbar),444.0,74.72,8.3,0.0,High,Medium,Medium
Nutrition bar or meal replacement bar,200.0,45.0,2.0,1050.0,High,Medium,High
Pita chips,17.0,68.26,3.8,0.0,Low,Medium,Medium
Chinese pancake,17.0,45.38,0.7,0.0,Low,Low,Low
Rice,19.692307692307693,21.947972027972046,1.2398601398601392,35.91608391608391,Low,Low,Low
Yellow rice,11.666666666666666,18.96666666666667,0.4666666666666666,8.666666666666666,Low,Low,Low
Cereal (General Mills Golden Grahams),323.0,85.1,5.6,472.0,High,Low,Medium
Cereal (General Mills Chex Honey Nut),313.0,86.67,3.9,432.0,High,Low,Medium
Cereal (Malt-O-Meal Blueberry Muffin Tops),29.0,81.81,10.9,0.0,High,Low,Medium
Cereal (Malt-O-Meal Cinnamon Toasters),333.0,78.33,5.0,498.0,High,Medium,Low
Cereal (General Mills Cheerios Protein),325.0,76.13,7.3,730.0,High,Medium,Medium
Cereal (Kellogg's Special K Chocolatey Delight),18.0,81.2,10.6,725.0,High,Medium,Medium
Cereal (Post Shredded Wheat),57.0,80.18,12.4,0.0,Low,Low,Medium
Wheat bran,73.0,64.51,42.8,0.0,Low,Low,High
Barley cereal,643.0,69.4,6.6,0.0,Medium,Medium,Medium
Rice cereal with applesauce and bananas,17.0,17.1,1.0,1.0,Low,Low,Low
Enchilada with chicken and beans,81.0,12.91,2.7,22.0,Low,Medium,Medium
Soft taco with beans,98.0,21.33,3.1,22.0,Low,Medium,Medium
Nachos with meat and cheese,141.0,17.8,3.3,52.0,Low,Medium,Medium
Taquito or flauta with egg and breakfast meat,168.0,25.62,1.8,78.0,Low,Medium,Medium
Taco with crab meat,124.0,16.54,1.2,53.0,Low,Medium,Medium
Turnover filled with ground beef and cabbage,25.0,29.83,1.8,2.0,Low,Medium,Medium
Croissant sandwich with ham,95.0,18.98,0.9,146.0,Medium,Medium,Medium
Pad Thai with chicken,22.0,14.37,1.2,17.0,Low,Medium,Medium
Macaroni or pasta salad with egg,12.0,22.53,1.3,18.0,Low,Medium,Medium
Beans and white rice,54.0,25.19,3.7,0.0,Low,Low,Medium
Black beans and white rice,19.0,24.42,5.0,0.0,Low,Low,Medium
Spaghetti and meatballs dinner,23.0,15.06,1.5,40.0,Low,Low,Medium
Sopa seca de arroz,17.0,20.78,1.0,33.0,Low,Medium,Low
Kumquat,62.0,15.9,6.5,15.0,Medium,Low,Low
Tangerine,37.0,13.34,1.8,34.0,Medium,Low,Low
Starfruit,3.0,6.73,2.8,3.0,Low,Low,Low
Bluberries,6.0,22.66,2.6,2.0,High,Low,Low
Pineapple salad with dressing,13.0,11.9,1.3,5.0,Medium,Medium,Low
Fruit juice,15.0,12.645,0.7,242.5,Medium,Low,Low
Cantaloupe nectar,5.0,15.64,0.3,69.0,High,Low,Low
Bananas with apples and pears,5.0,19.31,1.4,3.0,Medium,Low,Low
Stewed potatoes with tomatoes,8.0,15.4,1.4,13.0,Low,Low,Low
Potato chowder,97.0,8.59,0.6,51.0,Low,Low,Low
Ripe plantain,3.0,31.89,1.7,56.0,High,Low,Low
Green banana,3.0,31.335,1.65,52.5,High,Low,Low
Yam,14.0,27.4,3.9,6.0,Low,Low,Low
Yam buns; Puerto Rican style,25.0,29.77,3.5,64.0,Low,Medium,Low
Broccoli raab,108.5,2.865,2.7,134.0,Low,Low,Low
Squash fritter or cake,133.0,35.66,2.8,172.0,Low,High,Medium
Tomatoes,19.875,5.3625,1.55,48.5,Low,Low,Low
Taco sauce,11.0,0.72,0.5,74.0,Low,Low,Low
Hot Thai sauce,12.0,16.58,0.5,66.0,High,Low,Low
Artichoke,21.0,11.769999999999998,5.614285714285714,5.714285714285714,Low,Low,Low
Brussels sprouts,37.333333333333336,8.778333333333334,3.9,45.333333333333336,Low,Low,Low
Cabbage,54.785714285714285,5.976428571428571,2.092857142857143,68.5,Low,Low,Low
Lettuce,58.0,3.4916666666666667,1.375,230.08333333333334,Low,Low,Low
Broccoli slaw salad,36.0,10.59,2.0,97.0,Medium,Medium,Low
Spinach salad,83.0,2.97,1.6,370.0,Low,Low,Medium
Hominy,11.0,13.8,2.4,20.0,Low,Low,Low
Fried okra,52.0,22.14,1.6,10.0,Low,Medium,Low
Gazpacho,14.0,4.13,1.1,43.0,Low,Low,Low
Zucchini soup,44.0,2.73,0.4,23.0,Low,Low,Low
Potato and ham fritters,15.0,12.44,1.5,17.0,Low,Medium,Medium
Ripe plantain meat pie,36.0,21.9,2.0,75.0,Medium,High,Medium
Cassava fritter stuffed with crab meat,126.0,30.21,1.7,28.0,Medium,Medium,Medium
Stuffed cabbage,35.5,9.504999999999999,2.1,31.5,Low,Medium,Medium
Puerto Rican stew,27.0,14.15,1.7,142.0,Low,Medium,Medium
Flaxseed oil,1.0,0.0,0.0,0.0,Low,High,Low
Molasses,205.0,74.73,0.0,0.0,High,Low,Low
Caramel dip,47.0,52.739999999999995,0.0,69.0,High,Medium,Low
Butterscotch morsels,34.0,67.1,0.0,0.0,High,High,Low
TWIX Caramel Cookie Bars,106.0,64.8,1.1,20.0,High,High,Low
MILKY WAY MIDNIGHT Bar,53.0,71.22,2.9,42.0,High,Medium,Low
M&M's Peanut Chocolate Candies,102.0,60.48,3.7,22.0,High,High,Medium
Reese's Crispy Crunchy Bar,70.0,55.53,3.3,15.0,High,High,Medium
Sesame Crunch,639.0,50.3,7.7,0.0,High,High,Medium
Dietetic or low calorie mints,0.0,98.6,0.0,0.0,Low,Low,Low
Nonalcoholic malt beverage,7.0,8.05,0.0,0.0,Medium,Low,Low
Cordial or liqueur,0.5,44.2,0.0,0.0,High,Low,Low
Nutritional powder mix (Muscle Milk),500.0,18.5,7.1,750.0,Medium,Medium,High
Energy Drink,6.0,10.23,0.0,0.0,Medium,Low,Low
Energy drink (Ocean Spray Cran-Energy Juice Drink),0.0,3.75,0.0,0.0,Low,Low,Low
Energy drink (XS),13.0,0.7,0.0,0.0,Low,Low,Low
Soy milk,122.33333333333333,6.5,0.4166666666666667,61.5,Medium,Low,Low
Coconut milk,102.0,4.23,1.1,31.5,Low,Medium,Low
Yogurt,131.4857142857143,9.88,0.19714285714285712,33.457142857142856,Medium,Low,Medium
Firni,100.0,25.17,0.3,24.0,High,Low,Low
Alfredo sauce,67.0,1.48,0.0,159.0,Low,Medium,Low
Mozzarella sticks,334.0,25.14,2.0,99.0,Low,Medium,Medium
Fried pork chunks,15.0,0.86,0.1,1.0,Low,Medium,High
Veal,19.5,0.18875,0.0,0.0,Low,Medium,High
Opossum,17.0,0.0,0.0,0.0,Low,Medium,High
"Chicken ""wings"" with hot sauce",34.0,4.586666666666667,0.06666666666666667,80.33333333333333,Low,Medium,High
Fried chicken chunks,15.0,20.6,0.9,24.0,Low,Medium,High
Hog maws,17.0,0.0,0.0,0.0,Low,Medium,High
Gizzard,17.0,0.0,0.0,0.0,Low,Low,High
Italian sausage,12.0,2.15,0.0,22.0,Low,High,High
Pork sausage,9.333333333333334,4.94,0.0,18.666666666666668,Low,Medium,High
Meat spread or potted meat,12.0,11.94,0.2,26.0,Low,Medium,Medium
Octopus,118.4,6.7299999999999995,0.12,88.4,Low,Low,High
Squid,54.9,7.864,0.18,15.4,Low,Low,High
Chili con carne with beans,31.8,8.478000000000002,2.48,44.8,Low,Medium,Medium
Pork with chili and tomatoes,15.0,2.68,0.9,21.0,Low,Low,Medium
Veal cordon bleu,101.0,9.26,0.6,47.0,Low,Medium,High
Chicken with mole sauce,13.0,3.22,0.3,16.0,Low,Medium,High
Orange chicken,14.0,22.46,0.8,75.0,Medium,Medium,Medium
Lobster newburg,111.0,4.14,0.1,147.0,Low,High,Medium
Beef and noodles with gravy,11.0,15.39,0.7,4.0,Low,Medium,Medium
Sausage and rice with cheese sauce,88.0,13.94,0.2,25.0,Low,Medium,Medium
Ham or pork and potatoes with cheese sauce,96.0,11.11,0.9,24.0,Low,Medium,Medium
Shrimp and noodles with soy-based sauce,52.0,8.26,0.6,38.0,Low,Medium,Medium
Breaded brains,57.0,17.35,0.5,23.0,Low,Medium,Medium
Ham or pork,37.5,16.03,1.375,59.0,Low,Medium,Medium
Stuffed grape leaves with lamb and rice,105.0,11.91,3.3,359.0,Low,High,Medium
Bouillabaisse,33.0,2.15,0.3,30.0,Low,Low,Medium
Kung Pao beef,16.0,4.79,1.1,15.0,Low,Medium,High
Beef stew with vegetables excluding potatoes,21.0,6.73,2.2,116.0,Low,Medium,High
Lamb or mutton stew with vegetables excluding carrots,17.0,6.83,1.8,41.0,Low,Low,Medium
Veal goulash with vegetables including carrots,9.0,2.59,0.4,60.0,Low,Low,Medium
Chicken or turkey creole,24.0,2.96,1.1,16.0,Low,Low,Medium
Chicken or turkey a la king with vegetables excluding carrorts,59.0,6.35,0.5,109.0,Low,Medium,Medium
Chicken or turkey salad,18.666666666666668,4.724444444444445,0.4555555555555555,14.11111111111111,Low,Medium,Medium
Tuna salad,20.88888888888889,5.06,0.4444444444444444,18.22222222222222,Low,Medium,Medium
Shellfish mixture and vegetables excluding carrots,44.0,6.665,0.95,44.0,Low,Medium,Medium
Fish and vegetables including carrots,23.0,4.585,1.4500000000000002,144.5,Low,Medium,Medium
Livers,20.0,2.87,0.4,1741.0,Low,Medium,Medium
McDouble (McDonalds),150.0,17.97,0.9,44.0,Low,Medium,High
Ham and cheese sandwich,311.5,17.63,0.8,52.0,Low,Medium,Medium
Chicken fillet wrap sandwich,182.0,20.77,1.6,38.0,Low,Medium,High
Buffalo chicken submarine sandwich with cheese,203.0,17.35,1.0,33.0,Low,Medium,Medium
Fish wrap sandwich,196.0,22.47,1.4,45.0,Low,Medium,Medium
Bologna sandwich,173.0,33.02,1.4,1.0,Low,Medium,Medium
Sirloin beef,20.0,6.85,1.2,122.0,Low,Low,Medium
Beef broth,8.333333333333334,1.1633333333333333,0.19999999999999998,4.666666666666667,Low,Low,Low
Chicken or turkey noodle soup,21.0,4.354,0.5800000000000001,39.0,Low,Low,Low
Fish soup with potatoes,27.0,2.64,0.3,1.0,Low,Low,Medium
Oyster stew,106.0,4.24,0.0,70.0,Low,Medium,Low
Wasabi peas,123.0,62.2,3.8,77.0,Medium,Medium,Medium
Soybean curd cheese,188.0,6.9,0.0,2.0,Low,Medium,Medium
Frozen dessert,125.0,18.78,0.1,58.0,High,Medium,Low
Liquid from stewed kidney beans,13.0,2.8,0.1,0.0,Low,Low,Low
Split pea and ham soup,15.0,11.285,1.7999999999999998,61.5,Low,Low,Low
Trail mix with nuts and fruit,62.0,51.12,6.5,1.0,High,High,Medium
Bread stuffing,30.0,21.71,0.9,77.0,Low,Medium,Low
Cookie,33.18,68.0873,2.6729999999999996,21.96,High,Medium,Medium
Cookies,9.0,67.37,1.6,0.0,High,High,Medium
Blintz,84.5,22.415,0.55,88.0,Medium,Medium,Medium
Cobbler,74.0,39.49875,1.5000000000000002,19.125,High,Medium,Low
Doughnut holes,69.0,49.52,1.8,4.0,High,High,Medium
Beignet,90.0,53.69,1.9,4.0,High,High,Medium
Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),576.0,67.61,3.0,604.0,High,Medium,Low
Cereal or granola bar (Kellogg's Special K bar),31.0,72.73,1.8,0.0,High,Medium,Medium
Nutrition bar (Slim Fast Original Meal Bar),668.0,60.21,5.1,940.0,High,Medium,High
Chips,11.0,81.5,4.2,0.0,Low,Low,Medium
Cake made with glutinous rice and dried beans,29.0,37.34,3.2,0.0,Low,Low,Medium
Cereal (Kellogg's Cocoa Krispies),127.0,87.9,1.4,1210.0,High,Low,Low
Cereal (General Mills Cheerios Honey Nut),425.0,79.69,7.1,834.0,High,Medium,Medium
Cereal (General Mills Kix),570.0,82.82,8.8,879.0,Medium,Low,Medium
Cereal (General Mills Lucky Charms),434.0,80.89,5.0,847.0,High,Medium,Medium
Cereal (Malt-O-Meal Honey Graham Squares),323.0,85.1,5.6,472.0,High,Low,Medium
Cereal (Kellogg's Raisin Bran),43.0,77.29,11.4,386.0,High,Low,Medium
Cereal (General Mills Trix),313.0,86.19,3.9,669.0,High,Low,Low
Cereal (Uncle Sam),95.0,65.78,20.3,0.0,Low,Medium,High
Burrito with beans and rice,186.0,19.68,2.6,39.0,Low,Medium,Medium
Tamale with meat,52.0,14.8,1.2,2.0,Low,Medium,Medium
Taquito or flauta with chicken and cheese,104.0,33.63,2.9,30.0,Low,Medium,Medium
Pizza with pepperoni,182.9,30.056,2.71,70.9,Low,Medium,Medium
Macaroni or noodles with cheese and egg,58.0,18.96,0.8,87.0,Low,Medium,Medium
Pasta with cream sauce and meat,31.333333333333332,16.03333333333333,0.9,60.666666666666664,Low,Medium,Medium
Stuffed tomato,13.5,11.45,1.1,25.5,Low,Low,Low
Rice pilaf,29.0,24.08,0.4,1.0,Low,Low,Low
Barley soup,12.0,9.905,0.9,7.0,Medium,Low,Low
Chicken or turkey soup with dumplings and potatoes,11.0,4.46,0.8,62.0,Low,Low,Low
Lemon juice,7.333333333333333,6.473333333333334,0.4333333333333333,0.6666666666666666,Low,Low,Low
Cherries,25.6,34.646,2.2600000000000002,31.2,High,Low,Low
Blueberry juice,5.0,9.42,1.6,2.0,Medium,Low,Low
Watermelon juice,7.0,7.55,0.4,28.0,Medium,Low,Low
Pears and pineapple,10.0,11.15,2.6,1.6666666666666667,Medium,Low,Low
Apple-fruit juice blend,9.0,18.1,0.1,1.0,Medium,Low,Low
Blueberry yogurt dessert,25.0,17.05,0.4,3.0,Medium,Low,Low
Potato salad with egg,14.5,15.484,1.31,19.9,Low,Medium,Low
Cassava,17.0,39.62,1.9,13.0,Low,Low,Low
Kale,197.875,4.2875,3.0250000000000004,234.75,Low,Low,Low
Watercress,122.5,1.32,0.5,165.0,Low,Low,Low
Broccoli casserole with rice,79.0,15.09,1.9,49.0,Low,Low,Low
Peas and carrots,28.142857142857142,10.712857142857144,3.8571428571428577,405.14285714285717,Low,Low,Low
Sweet potato and pumpkin casserole,34.0,39.82,2.2,566.0,High,Medium,Low
Steak sauce,19.0,22.04,1.5,15.0,Medium,Low,Low
Puerto Rican seasoning without ham and tomato sauce,25.0,6.96,1.8,24.0,Low,Medium,Low
Tomato beef soup,9.0,8.44,0.6,12.0,Low,Low,Low
Fennel bulb,52.5,7.8100000000000005,3.3,56.5,Low,Low,Low
Mixed salad greens,46.0,2.93,1.4,310.0,Low,Low,Low
Radish,25.0,3.4,1.6,0.0,Low,Low,Low
Yellow string beans,48.0,6.25,2.9,16.0,Low,Low,Low
Parsnips,36.0,16.47,3.5,11.0,Low,Low,Low
Yeast extract spread,67.0,20.42,6.5,0.0,Low,Low,High
Peas and corn,14.0,16.490000000000002,3.3499999999999996,61.5,Low,Low,Low
Fried mushrooms,25.0,21.26,1.3,4.0,Low,Medium,Low
Fried summer squash,32.0,21.28,1.2,8.0,Low,Medium,Low
Borscht,23.0,4.67,1.0,59.0,Low,Low,Low
Vegetable beef soup with noodles or pasta,14.0,5.65,0.8,35.0,Low,Low,Medium
Sweet potatoes,16.0,13.6,1.5,327.0,Low,Low,Low
Carrots and beef,22.0,5.7,2.6,723.0,Low,Low,Low
Coconut oil,1.0,0.84,0.0,0.0,Low,High,Low
Cream sauce,29.0,10.22,0.1,164.0,Low,Medium,Low
Sugar substitute and sugar blend,1.0,99.35,0.0,0.0,High,Low,Low
Sweet potato paste,9.0,75.04,0.8,236.0,High,Low,Low
Yokan,15.0,30.47,2.0,0.0,High,Low,Low
M&M's Almond Chocolate Candies,155.0,60.5,5.6,24.0,High,High,Medium
Chocolate,127.875,57.487500000000004,4.175,21.125,High,High,Medium
Fondant,10.0,86.79,1.05,0.0,High,Low,Low
Fudge,59.54545454545455,72.15818181818182,1.5545454545454545,31.636363636363637,High,Medium,Low
M&M's Peanut Butter Chocolate Candies,88.0,56.89,4.0,28.0,High,High,Medium
Reese's Fast Break,36.0,63.9,3.6,14.0,High,High,Medium
Toffee,106.33333333333333,69.57666666666667,1.0333333333333334,32.333333333333336,High,Medium,Medium
Horchata beverage,21.5,20.055,0.45,2.5,Medium,Low,Low
High ball,4.0,0.0,0.0,0.0,Low,Low,Low
Margarita,2.0,16.06,0.0,0.0,High,Low,Low
Martini,2.0,3.4050000000000002,0.05,0.0,Low,Low,Low
Rusty Nail,0.0,10.95,0.0,0.0,Medium,Low,Low
Vodka and diet cola,2.0,0.22,0.0,0.0,Low,Low,Low
White Russian,73.0,11.17,0.0,66.0,Medium,Medium,Low
Gin,0.0,0.0,0.0,0.0,Low,Low,Low
Energy drink (NOS),0.0,11.25,0.0,0.0,Medium,Low,Low
Wheat bread as ingredient in sandwiches,161.0,45.42,5.4,0.0,Medium,Low,Medium
Milk,309.06451612903226,15.884193548387096,0.0,171.16129032258064,High,Low,Medium
Onion dip,76.66666666666667,6.506666666666668,0.16666666666666666,57.666666666666664,Low,High,Low
Milk shake,122.375,16.45375,0.7625000000000001,79.125,Medium,Medium,Low
Chocolate beverage powder,682.0,79.295,6.8,0.0,High,Low,Medium
Light ice cream bar,108.0,19.216666666666665,0.5333333333333333,70.0,Medium,Medium,Low
White sauce or gravy,121.0,9.19,0.2,135.0,Low,Medium,Low
Cheese dip,74.0,7.66,0.3,20.0,Low,Medium,Low
Cheese sandwich,424.0,27.74675675675676,2.3513513513513504,122.83783783783784,Low,Medium,Medium
Corned beef,11.166666666666666,5.003333333333333,0.5833333333333334,18.666666666666668,Low,Medium,High
Pork jerky,20.0,11.0,1.8,0.0,Medium,High,High
